"";"idno";"respc19a";"vacc19";"cntry";"eisced";"hinctnta";"hhmmb";"netusoft";"gndr";"maritalb";"domicil";"agea";"trstprl";"trstlgl";"trstplc";"trstplt";"trstprt"
"1";50014;1;1;"AT";3;6;2;5;1;1;3;65;6;9;10;5;5
"2";50030;1;1;"AT";5;1;1;5;2;6;1;21;6;6;4;1;0
"3";50057;1;1;"AT";6;5;3;5;2;1;3;53;7;5;8;4;4
"4";50106;1;1;"AT";5;2;1;1;2;4;1;78;5;6;9;3;3
"5";50145;3;1;"AT";3;NA;2;5;1;1;4;64;6;8;8;5;5
"6";50158;1;1;"AT";4;9;2;5;2;1;4;59;3;5;7;5;5
"7";50211;3;1;"AT";2;3;1;1;2;5;3;77;6;5;8;4;5
"8";50212;1;1;"AT";7;10;2;5;2;1;4;69;9;9;9;7;6
"9";50213;3;1;"AT";5;8;3;5;2;1;4;52;6;7;8;3;2
"10";50235;3;1;"AT";2;3;2;1;2;1;4;75;8;8;10;8;8
"11";50236;3;1;"AT";5;4;1;5;2;6;1;44;6;8;8;6;6
"12";50238;3;2;"AT";3;6;2;5;1;1;3;49;6;9;9;3;3
"13";50240;1;1;"AT";3;NA;2;5;2;1;1;63;6;4;4;9;9
"14";50248;1;1;"AT";2;NA;2;1;2;1;5;76;3;5;7;0;0
"15";50270;1;1;"AT";7;8;1;2;2;6;1;30;7;9;9;8;7
"16";50281;3;1;"AT";3;5;1;5;2;6;1;67;2;6;7;2;2
"17";50310;1;1;"AT";3;8;4;5;1;1;4;41;7;9;9;6;6
"18";50311;1;1;"AT";3;6;2;3;2;1;3;82;2;4;5;5;5
"19";50324;1;1;"AT";3;NA;2;5;1;6;4;26;4;5;6;1;1
"20";50339;3;2;"AT";2;1;1;4;1;4;2;42;5;7;5;3;3
"21";50341;3;1;"AT";3;2;1;2;2;5;4;85;7;7;8;8;8
"22";50349;1;1;"AT";3;2;2;5;1;1;5;72;4;4;6;6;6
"23";50355;3;1;"AT";3;2;1;5;1;6;1;31;4;5;5;2;2
"24";50358;3;2;"AT";5;NA;4;5;1;1;4;47;3;2;2;2;2
"25";50363;1;1;"AT";3;8;5;5;2;1;3;50;5;5;8;4;4
"26";50367;3;2;"AT";4;3;1;5;2;4;1;60;0;5;7;0;0
"27";50375;3;1;"AT";6;8;3;5;2;1;4;43;5;7;8;4;2
"28";50380;1;1;"AT";3;8;3;5;2;6;4;41;2;6;8;0;2
"29";50412;3;1;"AT";4;4;3;5;2;6;2;35;5;8;7;3;2
"30";50423;3;2;"AT";2;2;1;5;2;4;4;49;2;4;3;1;2
"31";50427;1;1;"AT";3;NA;3;5;2;1;4;36;0;6;6;0;0
"32";50433;NA;1;"AT";7;3;1;5;1;6;1;46;5;9;9;3;3
"33";50441;1;1;"AT";2;2;2;1;2;1;4;81;8;7;7;8;7
"34";50446;3;1;"AT";3;3;1;5;2;4;1;57;5;6;7;4;4
"35";50465;3;1;"AT";5;3;1;5;2;4;1;67;4;8;8;5;5
"36";50468;1;1;"AT";3;7;3;5;2;1;3;38;8;8;8;8;8
"37";50489;3;1;"AT";5;NA;2;5;2;4;1;42;8;9;9;5;5
"38";50512;1;1;"AT";2;5;2;5;2;1;5;59;5;5;7;5;5
"39";50517;3;1;"AT";2;7;2;3;1;1;3;77;7;6;7;5;3
"40";50577;1;1;"AT";3;5;2;3;1;1;4;58;4;6;8;4;3
"41";50591;3;2;"AT";3;3;1;5;2;6;4;38;0;8;8;1;1
