idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
50021;1.0;1.0;IT;4.0;5.0;3.0;5.0;0;1.0;4.0;39.0;5.0;6.0;7.0;5.0;4.0;1;1
50036;1.0;1.0;IT;7.0;6.0;1.0;5.0;1;6.0;3.0;29.0;3.0;6.0;6.0;3.0;3.0;1;1
50041;1.0;1.0;IT;2.0;4.0;2.0;5.0;1;6.0;4.0;47.0;5.0;7.0;10.0;4.0;5.0;1;1
50047;1.0;1.0;IT;4.0;5.0;4.0;5.0;1;6.0;4.0;21.0;8.0;4.0;7.0;5.0;6.0;1;1
50057;1.0;1.0;IT;2.0;5.0;4.0;3.0;0;1.0;4.0;62.0;1.0;4.0;4.0;5.0;4.0;1;1
50076;1.0;1.0;IT;7.0;10.0;3.0;5.0;0;1.0;4.0;44.0;7.0;10.0;10.0;7.0;6.0;1;1
50103;1.0;1.0;IT;7.0;9.0;3.0;5.0;0;1.0;4.0;53.0;8.0;8.0;8.0;8.0;8.0;1;1
50125;1.0;1.0;IT;4.0;6.0;2.0;5.0;0;6.0;1.0;24.0;9.0;8.0;8.0;7.0;8.0;1;1
50137;1.0;1.0;IT;3.0;4.0;2.0;5.0;1;4.0;3.0;51.0;7.0;8.0;6.0;4.0;4.0;1;1
50139;1.0;1.0;IT;1.0;3.0;2.0;1.0;1;1.0;4.0;69.0;5.0;7.0;7.0;4.0;4.0;1;1
50151;1.0;1.0;IT;2.0;5.0;2.0;1.0;1;1.0;1.0;82.0;5.0;6.0;6.0;4.0;4.0;1;1
50160;3.0;1.0;IT;4.0;3.0;1.0;2.0;1;5.0;4.0;58.0;6.0;7.0;8.0;3.0;3.0;1;0
50190;3.0;1.0;IT;2.0;4.0;2.0;1.0;0;1.0;4.0;57.0;5.0;8.0;10.0;4.0;4.0;1;0
50211;1.0;1.0;IT;4.0;3.0;1.0;5.0;1;3.0;3.0;47.0;5.0;7.0;7.0;5.0;6.0;1;1
50213;3.0;1.0;IT;2.0;9.0;3.0;5.0;1;1.0;4.0;50.0;4.0;1.0;2.0;0.0;0.0;1;0
50235;1.0;1.0;IT;2.0;2.0;5.0;2.0;0;1.0;4.0;44.0;4.0;4.0;5.0;2.0;2.0;1;1
50240;1.0;1.0;IT;7.0;8.0;3.0;5.0;1;1.0;4.0;58.0;7.0;0.0;7.0;3.0;3.0;1;1
50248;1.0;1.0;IT;7.0;7.0;3.0;5.0;1;6.0;3.0;45.0;5.0;8.0;8.0;4.0;3.0;1;1
50273;1.0;1.0;IT;2.0;9.0;2.0;5.0;1;1.0;3.0;63.0;7.0;8.0;10.0;5.0;4.0;1;1
50308;1.0;1.0;IT;4.0;7.0;3.0;5.0;1;1.0;3.0;54.0;5.0;6.0;8.0;5.0;5.0;1;1
50311;3.0;1.0;IT;4.0;6.0;2.0;5.0;1;6.0;3.0;62.0;8.0;2.0;8.0;2.0;3.0;1;0
50315;1.0;1.0;IT;1.0;5.0;2.0;1.0;0;1.0;3.0;74.0;1.0;6.0;7.0;1.0;2.0;1;1
50330;1.0;1.0;IT;4.0;5.0;2.0;5.0;1;6.0;3.0;31.0;2.0;5.0;6.0;1.0;4.0;1;1
50339;3.0;1.0;IT;4.0;7.0;2.0;5.0;1;1.0;4.0;63.0;8.0;4.0;7.0;5.0;5.0;1;0
50363;1.0;1.0;IT;4.0;5.0;3.0;5.0;0;6.0;4.0;37.0;6.0;7.0;9.0;6.0;6.0;1;1
50367;3.0;1.0;IT;4.0;5.0;1.0;3.0;1;6.0;3.0;64.0;0.0;1.0;0.0;0.0;0.0;1;0
50380;1.0;1.0;IT;4.0;9.0;2.0;4.0;1;1.0;3.0;74.0;7.0;8.0;8.0;5.0;4.0;1;1
50391;3.0;1.0;IT;1.0;2.0;1.0;1.0;1;5.0;3.0;84.0;0.0;3.0;5.0;0.0;0.0;1;0
50415;2.0;1.0;IT;2.0;5.0;2.0;2.0;1;3.0;4.0;70.0;3.0;6.0;8.0;2.0;1.0;1;1
50465;1.0;1.0;IT;4.0;7.0;3.0;5.0;1;1.0;1.0;56.0;6.0;7.0;8.0;3.0;2.0;1;1
50481;3.0;1.0;IT;2.0;5.0;2.0;2.0;1;1.0;4.0;74.0;0.0;8.0;8.0;0.0;0.0;1;0
50526;1.0;1.0;IT;2.0;7.0;4.0;5.0;1;1.0;1.0;62.0;2.0;6.0;8.0;2.0;0.0;1;1
50530;3.0;1.0;IT;4.0;5.0;2.0;5.0;1;1.0;4.0;61.0;0.0;3.0;6.0;0.0;0.0;1;0
50555;1.0;1.0;IT;6.0;8.0;3.0;5.0;0;6.0;4.0;34.0;2.0;6.0;6.0;1.0;1.0;1;1
50568;1.0;1.0;IT;4.0;5.0;2.0;5.0;0;1.0;4.0;43.0;7.0;9.0;8.0;6.0;5.0;1;1
50569;3.0;1.0;IT;4.0;5.0;4.0;5.0;0;1.0;4.0;43.0;3.0;2.0;6.0;0.0;1.0;1;0
50577;1.0;1.0;IT;2.0;1.0;1.0;2.0;0;3.0;5.0;65.0;6.0;7.0;8.0;6.0;6.0;1;1
50591;3.0;1.0;IT;4.0;8.0;4.0;5.0;0;1.0;3.0;56.0;8.0;8.0;10.0;0.0;5.0;1;0
50592;3.0;1.0;IT;1.0;2.0;1.0;1.0;0;5.0;3.0;87.0;4.0;6.0;8.0;5.0;4.0;1;0
50608;3.0;1.0;IT;1.0;5.0;1.0;4.0;1;6.0;4.0;72.0;1.0;3.0;8.0;0.0;0.0;1;0
50611;1.0;1.0;IT;4.0;5.0;2.0;5.0;1;1.0;4.0;53.0;5.0;5.0;6.0;5.0;5.0;1;1
50623;1.0;1.0;IT;3.0;5.0;2.0;1.0;1;1.0;4.0;69.0;6.0;7.0;9.0;6.0;6.0;1;1
50626;1.0;1.0;IT;2.0;5.0;2.0;5.0;0;1.0;4.0;72.0;0.0;7.0;10.0;0.0;0.0;1;1
50633;3.0;1.0;IT;2.0;5.0;2.0;2.0;0;1.0;4.0;80.0;3.0;0.0;8.0;0.0;0.0;1;0
50637;1.0;2.0;IT;2.0;8.0;3.0;5.0;1;1.0;1.0;68.0;5.0;3.0;5.0;5.0;5.0;0;1
50638;1.0;1.0;IT;7.0;5.0;3.0;5.0;0;1.0;3.0;39.0;8.0;5.0;8.0;6.0;6.0;1;1
50681;3.0;1.0;IT;4.0;3.0;1.0;5.0;1;3.0;4.0;69.0;2.0;5.0;6.0;2.0;2.0;1;0
50691;3.0;1.0;IT;4.0;5.0;1.0;5.0;1;6.0;4.0;39.0;0.0;6.0;5.0;0.0;0.0;1;0
50707;3.0;1.0;IT;4.0;3.0;4.0;5.0;1;6.0;5.0;26.0;2.0;3.0;3.0;3.0;3.0;1;0
50714;3.0;1.0;IT;7.0;7.0;3.0;5.0;0;1.0;4.0;43.0;6.0;8.0;8.0;3.0;3.0;1;0
50732;1.0;1.0;IT;7.0;8.0;2.0;3.0;1;1.0;3.0;63.0;7.0;7.0;7.0;6.0;6.0;1;1
50749;2.0;2.0;IT;6.0;5.0;3.0;5.0;0;6.0;4.0;25.0;5.0;7.0;5.0;3.0;4.0;0;1
50771;3.0;1.0;IT;4.0;5.0;2.0;5.0;1;1.0;3.0;24.0;7.0;7.0;7.0;0.0;0.0;1;0
