idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
50004;1.0;1.0;DE;6.0;9.0;2.0;5.0;0;6.0;3.0;34.0;7.0;7.0;8.0;5.0;5.0;1;1
50032;1.0;1.0;DE;7.0;3.0;4.0;5.0;1;6.0;4.0;42.0;4.0;8.0;8.0;5.0;3.0;1;1
50052;1.0;1.0;DE;3.0;7.0;5.0;5.0;0;1.0;1.0;41.0;8.0;7.0;8.0;7.0;7.0;1;1
50059;1.0;1.0;DE;3.0;8.0;2.0;5.0;1;4.0;2.0;58.0;7.0;8.0;8.0;8.0;7.0;1;1
50070;3.0;1.0;DE;7.0;10.0;5.0;5.0;0;1.0;1.0;40.0;7.0;8.0;9.0;7.0;7.0;1;0
50083;1.0;1.0;DE;5.0;6.0;4.0;5.0;0;1.0;2.0;46.0;8.0;9.0;9.0;7.0;7.0;1;1
50085;1.0;1.0;DE;3.0;4.0;4.0;5.0;0;1.0;4.0;56.0;6.0;9.0;10.0;6.0;5.0;1;1
50090;1.0;2.0;DE;5.0;8.0;2.0;5.0;0;6.0;4.0;63.0;1.0;2.0;1.0;0.0;0.0;0;1
50099;1.0;1.0;DE;3.0;7.0;2.0;5.0;0;6.0;2.0;24.0;8.0;9.0;8.0;4.0;5.0;1;1
50100;1.0;1.0;DE;7.0;10.0;2.0;5.0;0;1.0;4.0;57.0;10.0;10.0;8.0;6.0;7.0;1;1
50129;1.0;1.0;DE;5.0;4.0;2.0;5.0;0;1.0;4.0;66.0;6.0;8.0;8.0;6.0;5.0;1;1
50138;1.0;1.0;DE;5.0;5.0;2.0;1.0;0;1.0;4.0;80.0;0.0;5.0;9.0;5.0;4.0;1;1
50148;1.0;1.0;DE;7.0;3.0;2.0;5.0;0;1.0;3.0;64.0;7.0;9.0;8.0;7.0;6.0;1;1
50156;2.0;2.0;DE;7.0;8.0;2.0;5.0;1;1.0;4.0;38.0;7.0;8.0;7.0;5.0;5.0;0;1
50162;1.0;1.0;DE;7.0;7.0;4.0;5.0;0;1.0;3.0;48.0;6.0;8.0;8.0;4.0;4.0;1;1
50165;3.0;1.0;DE;7.0;7.0;3.0;5.0;0;1.0;4.0;38.0;8.0;7.0;8.0;6.0;6.0;1;0
50195;1.0;1.0;DE;7.0;6.0;2.0;4.0;0;1.0;5.0;73.0;5.0;8.0;8.0;5.0;5.0;1;1
50204;3.0;1.0;DE;5.0;6.0;1.0;5.0;1;6.0;2.0;49.0;4.0;6.0;8.0;4.0;3.0;1;0
50228;1.0;2.0;DE;3.0;5.0;4.0;5.0;1;1.0;2.0;50.0;5.0;5.0;5.0;5.0;5.0;0;1
50267;1.0;1.0;DE;5.0;10.0;2.0;5.0;1;1.0;2.0;60.0;6.0;7.0;8.0;3.0;3.0;1;1
50268;1.0;1.0;DE;7.0;4.0;1.0;5.0;0;6.0;4.0;41.0;2.0;3.0;3.0;1.0;1.0;1;1
50275;1.0;1.0;DE;6.0;8.0;3.0;5.0;1;6.0;4.0;28.0;6.0;9.0;8.0;4.0;5.0;1;1
50280;1.0;1.0;DE;3.0;6.0;4.0;4.0;1;1.0;3.0;39.0;7.0;8.0;8.0;6.0;7.0;1;1
50293;1.0;1.0;DE;3.0;6.0;4.0;5.0;1;1.0;4.0;47.0;3.0;6.0;9.0;2.0;5.0;1;1
50295;3.0;1.0;DE;3.0;7.0;2.0;4.0;1;1.0;4.0;62.0;7.0;9.0;9.0;7.0;7.0;1;0
50312;1.0;1.0;DE;3.0;3.0;1.0;3.0;1;5.0;3.0;72.0;9.0;3.0;9.0;2.0;2.0;1;1
50368;1.0;1.0;DE;3.0;6.0;2.0;5.0;0;1.0;2.0;39.0;6.0;7.0;7.0;2.0;2.0;1;1
50371;1.0;1.0;DE;3.0;3.0;1.0;5.0;0;6.0;5.0;38.0;5.0;9.0;7.0;5.0;3.0;1;1
50376;3.0;1.0;DE;3.0;5.0;3.0;5.0;0;6.0;4.0;39.0;4.0;2.0;5.0;1.0;1.0;1;0
50387;3.0;1.0;DE;3.0;7.0;1.0;1.0;0;6.0;1.0;59.0;0.0;0.0;10.0;0.0;0.0;1;0
50396;1.0;1.0;DE;4.0;2.0;1.0;5.0;0;6.0;2.0;28.0;7.0;6.0;8.0;7.0;6.0;1;1
50420;3.0;1.0;DE;3.0;4.0;2.0;2.0;0;1.0;4.0;75.0;3.0;3.0;3.0;2.0;2.0;1;0
50431;3.0;2.0;DE;2.0;2.0;1.0;2.0;1;4.0;3.0;66.0;2.0;2.0;7.0;1.0;1.0;0;0
50444;1.0;1.0;DE;3.0;7.0;3.0;2.0;1;1.0;4.0;58.0;1.0;4.0;6.0;3.0;1.0;1;1
50491;1.0;1.0;DE;2.0;7.0;5.0;5.0;1;6.0;4.0;22.0;6.0;4.0;2.0;4.0;2.0;1;1
50495;1.0;1.0;DE;4.0;3.0;2.0;5.0;0;6.0;3.0;21.0;8.0;9.0;9.0;7.0;7.0;1;1
50543;1.0;1.0;DE;3.0;6.0;4.0;5.0;1;4.0;4.0;48.0;6.0;9.0;10.0;4.0;4.0;1;1
50544;1.0;1.0;DE;2.0;5.0;2.0;5.0;1;1.0;4.0;79.0;5.0;3.0;7.0;5.0;5.0;1;1
50552;3.0;1.0;DE;7.0;10.0;4.0;5.0;0;1.0;3.0;61.0;3.0;8.0;9.0;3.0;4.0;1;0
50553;1.0;1.0;DE;5.0;8.0;2.0;5.0;0;1.0;2.0;60.0;5.0;8.0;9.0;5.0;0.0;1;1
50562;1.0;1.0;DE;3.0;2.0;1.0;5.0;1;6.0;1.0;75.0;10.0;10.0;10.0;5.0;5.0;1;1
50585;1.0;1.0;DE;5.0;7.0;4.0;5.0;1;1.0;1.0;37.0;8.0;9.0;9.0;8.0;8.0;1;1
50587;1.0;1.0;DE;7.0;5.0;2.0;5.0;0;1.0;3.0;87.0;3.0;3.0;4.0;2.0;3.0;1;1
50627;1.0;1.0;DE;2.0;2.0;5.0;5.0;1;6.0;4.0;17.0;7.0;8.0;10.0;8.0;7.0;1;1
50639;1.0;1.0;DE;2.0;3.0;2.0;5.0;0;6.0;4.0;24.0;1.0;8.0;8.0;1.0;1.0;1;1
50641;1.0;1.0;DE;5.0;7.0;6.0;5.0;1;1.0;4.0;38.0;7.0;7.0;7.0;6.0;5.0;1;1
50643;1.0;1.0;DE;5.0;8.0;2.0;5.0;1;1.0;3.0;59.0;5.0;3.0;10.0;8.0;8.0;1;1
50723;1.0;2.0;DE;6.0;3.0;3.0;5.0;1;1.0;4.0;33.0;3.0;3.0;4.0;0.0;0.0;0;1
50762;1.0;2.0;DE;2.0;2.0;1.0;5.0;0;6.0;3.0;41.0;0.0;5.0;10.0;3.0;5.0;0;1
50813;1.0;1.0;DE;3.0;9.0;4.0;5.0;1;1.0;4.0;39.0;4.0;8.0;10.0;3.0;4.0;1;1
50833;1.0;1.0;DE;5.0;6.0;2.0;5.0;1;1.0;4.0;60.0;5.0;7.0;8.0;4.0;4.0;1;1
50839;3.0;1.0;DE;3.0;9.0;4.0;5.0;1;6.0;4.0;22.0;4.0;5.0;3.0;3.0;3.0;1;0
50856;1.0;1.0;DE;5.0;2.0;1.0;1.0;0;1.0;3.0;90.0;5.0;5.0;8.0;4.0;4.0;1;1
50857;1.0;2.0;DE;2.0;7.0;5.0;5.0;1;6.0;4.0;16.0;3.0;7.0;7.0;3.0;4.0;0;1
50861;1.0;1.0;DE;6.0;10.0;2.0;5.0;0;1.0;1.0;43.0;9.0;10.0;10.0;6.0;4.0;1;1
50882;3.0;2.0;DE;7.0;10.0;2.0;5.0;1;1.0;2.0;53.0;2.0;8.0;8.0;1.0;1.0;0;0
50900;1.0;1.0;DE;6.0;6.0;2.0;5.0;0;6.0;1.0;24.0;10.0;10.0;8.0;7.0;5.0;1;1
50925;1.0;1.0;DE;7.0;10.0;2.0;5.0;0;1.0;4.0;30.0;8.0;8.0;7.0;7.0;7.0;1;1
50949;1.0;1.0;DE;3.0;8.0;2.0;1.0;1;1.0;4.0;73.0;5.0;8.0;8.0;8.0;4.0;1;1
50973;3.0;1.0;DE;3.0;10.0;2.0;5.0;0;1.0;2.0;82.0;7.0;9.0;9.0;2.0;2.0;1;0
50974;3.0;1.0;DE;2.0;2.0;5.0;5.0;0;6.0;3.0;16.0;5.0;6.0;8.0;6.0;5.0;1;0
50982;1.0;1.0;DE;3.0;6.0;2.0;5.0;1;1.0;3.0;63.0;4.0;5.0;8.0;4.0;4.0;1;1
50998;1.0;1.0;DE;7.0;7.0;1.0;5.0;0;6.0;3.0;40.0;7.0;7.0;6.0;5.0;5.0;1;1
50999;1.0;1.0;DE;6.0;10.0;3.0;5.0;1;1.0;2.0;29.0;8.0;9.0;7.0;4.0;3.0;1;1
51003;2.0;1.0;DE;7.0;10.0;2.0;5.0;0;6.0;2.0;48.0;3.0;6.0;4.0;3.0;3.0;1;1
51010;1.0;1.0;DE;7.0;7.0;5.0;5.0;1;1.0;5.0;40.0;8.0;8.0;7.0;5.0;7.0;1;1
51022;1.0;1.0;DE;7.0;8.0;2.0;5.0;1;1.0;3.0;28.0;8.0;9.0;9.0;8.0;6.0;1;1
51031;3.0;1.0;DE;5.0;10.0;2.0;5.0;0;1.0;4.0;68.0;10.0;10.0;10.0;7.0;5.0;1;0
51049;1.0;1.0;DE;7.0;8.0;3.0;5.0;1;1.0;2.0;55.0;7.0;9.0;8.0;6.0;7.0;1;1
51060;1.0;1.0;DE;2.0;7.0;5.0;5.0;0;6.0;1.0;16.0;5.0;5.0;7.0;4.0;5.0;1;1
51118;1.0;1.0;DE;3.0;3.0;1.0;1.0;0;5.0;4.0;89.0;5.0;8.0;8.0;6.0;6.0;1;1
51165;1.0;1.0;DE;4.0;1.0;2.0;5.0;0;6.0;1.0;23.0;6.0;8.0;6.0;5.0;5.0;1;1
51168;1.0;1.0;DE;7.0;8.0;5.0;4.0;0;1.0;1.0;64.0;9.0;9.0;8.0;6.0;5.0;1;1
