idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
50017;1.0;1.0;ES;2.0;7.0;3.0;5.0;1;6.0;1.0;45.0;4.0;2.0;5.0;4.0;3.0;1;1
50032;3.0;1.0;ES;6.0;10.0;2.0;5.0;0;6.0;1.0;64.0;10.0;8.0;9.0;7.0;6.0;1;0
50033;3.0;1.0;ES;2.0;1.0;2.0;5.0;1;6.0;1.0;53.0;6.0;7.0;7.0;5.0;5.0;1;0
50037;3.0;1.0;ES;1.0;5.0;4.0;5.0;0;1.0;4.0;43.0;5.0;2.0;10.0;0.0;0.0;1;0
50052;1.0;1.0;ES;2.0;3.0;2.0;5.0;0;6.0;4.0;32.0;0.0;2.0;2.0;0.0;0.0;1;1
50062;1.0;1.0;ES;2.0;5.0;2.0;2.0;0;1.0;3.0;72.0;5.0;7.0;8.0;3.0;2.0;1;1
50066;3.0;2.0;ES;2.0;3.0;2.0;5.0;0;6.0;4.0;61.0;5.0;8.0;10.0;5.0;5.0;0;0
50082;1.0;1.0;ES;2.0;5.0;3.0;5.0;0;6.0;1.0;42.0;0.0;5.0;5.0;0.0;0.0;1;1
50086;3.0;1.0;ES;4.0;4.0;3.0;5.0;1;6.0;2.0;38.0;6.0;10.0;10.0;5.0;7.0;1;0
50102;3.0;1.0;ES;4.0;5.0;4.0;3.0;0;1.0;4.0;58.0;6.0;7.0;7.0;5.0;5.0;1;0
50198;1.0;1.0;ES;7.0;9.0;3.0;5.0;0;6.0;3.0;34.0;8.0;8.0;9.0;5.0;6.0;1;1
50204;1.0;1.0;ES;1.0;5.0;2.0;1.0;1;1.0;4.0;80.0;4.0;3.0;5.0;6.0;7.0;1;1
50209;1.0;1.0;ES;3.0;3.0;3.0;5.0;1;1.0;4.0;44.0;4.0;5.0;8.0;6.0;4.0;1;1
50244;3.0;1.0;ES;2.0;5.0;4.0;5.0;1;6.0;4.0;32.0;7.0;7.0;8.0;7.0;7.0;1;0
50254;1.0;1.0;ES;7.0;1.0;1.0;5.0;0;6.0;1.0;24.0;5.0;5.0;6.0;5.0;5.0;1;1
50274;3.0;1.0;ES;1.0;5.0;2.0;1.0;1;1.0;4.0;81.0;8.0;3.0;9.0;0.0;2.0;1;0
50295;3.0;1.0;ES;1.0;2.0;1.0;1.0;1;5.0;4.0;80.0;0.0;5.0;6.0;2.0;2.0;1;0
50305;3.0;1.0;ES;5.0;10.0;2.0;5.0;0;1.0;3.0;63.0;4.0;4.0;6.0;2.0;2.0;1;0
50314;1.0;1.0;ES;4.0;10.0;3.0;5.0;1;6.0;1.0;22.0;0.0;2.0;5.0;0.0;1.0;1;1
50356;3.0;1.0;ES;2.0;2.0;2.0;5.0;0;1.0;4.0;60.0;1.0;7.0;10.0;0.0;0.0;1;0
50396;3.0;1.0;ES;6.0;8.0;2.0;5.0;1;6.0;3.0;28.0;7.0;5.0;7.0;6.0;6.0;1;0
50411;3.0;1.0;ES;1.0;3.0;1.0;5.0;1;5.0;4.0;84.0;5.0;6.0;6.0;5.0;5.0;1;0
50420;1.0;1.0;ES;3.0;7.0;4.0;5.0;0;1.0;4.0;43.0;5.0;7.0;7.0;5.0;5.0;1;1
50449;1.0;1.0;ES;4.0;4.0;2.0;3.0;1;1.0;3.0;71.0;4.0;4.0;6.0;5.0;5.0;1;1
50491;3.0;1.0;ES;2.0;7.0;3.0;5.0;1;6.0;4.0;25.0;6.0;8.0;8.0;5.0;4.0;1;0
50495;3.0;1.0;ES;1.0;3.0;1.0;5.0;1;4.0;3.0;69.0;3.0;9.0;10.0;0.0;0.0;1;0
50522;2.0;1.0;ES;6.0;8.0;1.0;5.0;0;6.0;1.0;40.0;4.0;3.0;6.0;2.0;2.0;1;1
50532;1.0;1.0;ES;4.0;5.0;2.0;5.0;0;5.0;2.0;63.0;4.0;4.0;7.0;3.0;2.0;1;1
50574;1.0;1.0;ES;1.0;2.0;1.0;5.0;1;5.0;4.0;74.0;2.0;5.0;5.0;0.0;0.0;1;1
50579;3.0;1.0;ES;2.0;5.0;3.0;5.0;0;6.0;4.0;25.0;6.0;7.0;8.0;1.0;2.0;1;0
50595;1.0;1.0;ES;1.0;4.0;2.0;5.0;0;1.0;1.0;67.0;4.0;0.0;4.0;1.0;0.0;1;1
50600;3.0;1.0;ES;4.0;5.0;1.0;4.0;1;4.0;4.0;39.0;5.0;7.0;8.0;6.0;6.0;1;0
50622;1.0;1.0;ES;5.0;8.0;5.0;5.0;1;1.0;2.0;55.0;8.0;10.0;10.0;3.0;3.0;1;1
50668;1.0;1.0;ES;7.0;7.0;4.0;5.0;1;6.0;4.0;29.0;5.0;7.0;3.0;1.0;4.0;1;1
50698;1.0;1.0;ES;1.0;3.0;2.0;3.0;1;1.0;3.0;55.0;7.0;3.0;6.0;0.0;0.0;1;1
50718;1.0;1.0;ES;5.0;5.0;4.0;5.0;1;1.0;1.0;56.0;9.0;3.0;7.0;7.0;7.0;1;1
50722;1.0;1.0;ES;2.0;5.0;3.0;5.0;0;6.0;4.0;18.0;2.0;2.0;4.0;0.0;0.0;1;1
50745;1.0;2.0;ES;5.0;6.0;4.0;5.0;1;1.0;3.0;39.0;5.0;5.0;5.0;0.0;5.0;0;1
50769;1.0;1.0;ES;5.0;2.0;1.0;5.0;1;4.0;4.0;69.0;0.0;2.0;3.0;0.0;0.0;1;1
