idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
50014;1.0;1.0;FR;7.0;8.0;2.0;5.0;0;6.0;1.0;48.0;7.0;7.0;7.0;5.0;2.0;1;1
50047;1.0;1.0;FR;2.0;6.0;2.0;5.0;1;6.0;1.0;54.0;5.0;5.0;5.0;4.0;4.0;1;1
50131;1.0;1.0;FR;5.0;8.0;5.0;5.0;1;1.0;4.0;38.0;4.0;7.0;8.0;3.0;3.0;1;1
50152;1.0;1.0;FR;1.0;5.0;2.0;5.0;1;1.0;4.0;68.0;0.0;6.0;6.0;0.0;0.0;1;1
50190;1.0;1.0;FR;6.0;7.0;4.0;5.0;1;1.0;3.0;51.0;3.0;5.0;7.0;6.0;2.0;1;1
50213;1.0;1.0;FR;7.0;9.0;2.0;5.0;1;1.0;3.0;71.0;0.0;3.0;10.0;0.0;0.0;1;1
50214;1.0;1.0;FR;4.0;3.0;1.0;5.0;0;6.0;2.0;27.0;4.0;5.0;6.0;5.0;5.0;1;1
50225;1.0;1.0;FR;3.0;8.0;3.0;1.0;0;6.0;4.0;61.0;7.0;5.0;9.0;7.0;7.0;1;1
50236;1.0;1.0;FR;5.0;1.0;3.0;4.0;0;6.0;3.0;20.0;6.0;6.0;7.0;6.0;6.0;1;1
50248;1.0;1.0;FR;1.0;2.0;1.0;1.0;1;5.0;4.0;78.0;3.0;7.0;7.0;2.0;0.0;1;1
50252;1.0;1.0;FR;4.0;8.0;4.0;5.0;0;1.0;3.0;66.0;5.0;5.0;5.0;4.0;4.0;1;1
50270;3.0;1.0;FR;4.0;5.0;2.0;3.0;0;1.0;4.0;83.0;5.0;6.0;4.0;3.0;2.0;1;0
50273;1.0;2.0;FR;5.0;3.0;2.0;5.0;1;6.0;4.0;38.0;3.0;3.0;5.0;3.0;3.0;0;1
50308;1.0;1.0;FR;7.0;10.0;2.0;5.0;0;6.0;1.0;27.0;7.0;3.0;6.0;5.0;5.0;1;1
50310;3.0;1.0;FR;3.0;7.0;2.0;5.0;0;6.0;3.0;79.0;0.0;0.0;5.0;0.0;5.0;1;0
50367;3.0;1.0;FR;1.0;4.0;1.0;1.0;1;5.0;4.0;90.0;5.0;5.0;5.0;5.0;5.0;1;0
